Method,Abs Rel Error,RMSE,RMSE log,delta < 1.25,delta < 1.25^2,delta < 1.25^3
midas_large,49.2902,214504.9905,0.4132,0.5127,0.7661,0.8947
sgbm_balanced,0.1327,4.4702,0.2658,0.8828,0.9553,0.9672
